index;lank;datum;typ
1;https://regionostergotland.screen9.tv/media/mtJcHyvfwfD_6saoOqUaEQ/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-09-11;2025-09-11;Quickchannel
2;https://regionostergotland.screen9.tv/media/lzM6JGh9s3a9mX7UxCpVIQ/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-06-18%20;2025-06-18;Quickchannel
3;https://regionostergotland.screen9.tv/media/t4fJlbzqCkayMBqqc30Xzw/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-04-24;2025-04-24;Quickchannel
4;https://regionostergotland.screen9.tv/media/LKlNTDmHO_LHpnBI2Lq1fA/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-02-12%20;2025-02-12;Quickchannel
5;https://regionostergotland.screen9.tv/media/PVbChv2EDbPElsnHTzRFCQ/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202024-11-27%20;2024-11-27;Quickchannel
6;https://regionostergotland.screen9.tv/media/gl7WlY2J3sm4G0CToK55FA/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202024-10-09%20;2024-10-09;Quickchannel
7;https://regionostergotland.screen9.tv/media/m6uiOe84QqL7yHookCrSWA/Regionfullm%C3%A4ktige%20Juni%202024;2024-06-28;Quickchannel
8;https://regionostergotland.screen9.tv/media/leSFUb5lk5sNF0x7MEs9eg/Fullm%C3%A4ktige%20del%202;2024-05-22(2);Quickchannel
9;https://regionostergotland.screen9.tv/media/FRANhS7zbuJrYMm7LO8Ziw/Fullm%C3%A4ktige%20del%201;2024-05-22(1);Quickchannel
10;https://regionostergotland.screen9.tv/media/Yl_nY0Xlxkp3MhPG3eQ5Ow/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202024-02-13%20;2024-02-13;Quickchannel
11;https://regionostergotland.screen9.tv/media/KEkvBl5XtA7biZs3EcPTDw/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202023-11-22;2023-11-22;Quickchannel
12;https://www.youtube.com/watch?v=jXYmTpgz7DI&t=129s&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2023-10-04;youtube
13;https://www.youtube.com/watch?v=HgKoFrvCtNA&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2023-06-20;youtube
14;https://www.youtube.com/watch?v=LhXcKeBjxww&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2023-04-18;youtube
15;https://www.youtube.com/watch?v=KYDCJPFFUiw&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2023-02-14;youtube
16;https://www.youtube.com/watch?v=HBb5a8igJRI&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2022-11-23;youtube
17;https://www.youtube.com/watch?v=O8vx0s2jIYk&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2022-11-01;youtube
18;https://www.youtube.com/watch?v=PTb6ELTS-yQ&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2022-06-21(2);youtube
19;https://www.youtube.com/watch?v=_G-E01uxTtg&ab_channel=Regionfullm%C3%A4ktige%C3%96sterg%C3%B6tland;2022-06-22(1);youtube
20;https://regionostergotland.screen9.tv/media/lCTkngjyIbjFnn37cvhU1g/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-10-15;2025-10-15;Quickchannel
21;https://regionostergotland.screen9.tv/media/foaXXwfVbR6fGlOouLS3bw/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-11-26;2025-11-26;Quickchannel
22;https://regionostergotland.screen9.tv/media/LKlNTDmHO_LHpnBI2Lq1fA/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-02-12%20;2025-02-12;Quickchannel
23;https://regionostergotland.screen9.tv/media/lzM6JGh9s3a9mX7UxCpVIQ/Regionfullm%C3%A4ktige%20%C3%96sterg%C3%B6tland%202025-06-18%20;2025-06-18;Quickchannel
24;;;youtube
25;;;youtube
26;;;youtube
27;;;youtube
28;;;youtube